,id,text,positive,negative,neutral,polarity,target
0,1485193940890718213,"RT @plutoniansgame: Tomorrow we will begin to announce our strategic partners! Until then, please listen to our Original Game Soundtrack on…",0.205,0.0,0.795,-0.012500000000000011,4
1,1485193939435274245,"RT @gems_1000: #BSC #BSCGem 
This one is a bomb  $SUGAR

Bottom is in 💹 now only way is up. APE NOW. don’t FOMO In later 

Team always deli…",0.0,0.113,0.887,0.0,0
2,1485193938848071681,"RT @vtmetaverse: VT Token Promotional Sale #Whitelist campaign is live now🚨

🏆 Number of the winner: 200
💰 Allocation: $1,000 allocation fr…",0.221,0.0,0.779,0.13636363636363635,4
3,1485193937103257604,"RT @cryptohorsegame: Our Whitelist contest is available! Dont miss the chance to get a spot in Cryptohorse Pre-sale at Pinksale! 
Please fo…",0.18,0.072,0.748,0.625,4
4,1485193936062885889,"RT @TelegramTycoon: Decentraland (MANA) Airdrop https://t.co/zJIIYa1RmF 

#cryptocurrency #Airdrops #AirdropDetective #Airdropinspector #ai…",0.0,0.0,1.0,0.0,0
5,1485193936058695680,"@BluesparrowC @tommychong 2022, the year of #BlueSparrow CEX? And Web 3.0? #BlueSparrow, with NFTs, Web 3.0 and the Technologies Enabling the #Metaverse, will be brilliant in 2022!!! #bluesparrowETH #BlueSparrowtoken #BlueSparrowCommunity #bluesparrow #Bluesparrowcharity #web3 https://t.co/vTgCagjfaf",0.132,0.0,0.868,1.0,4
6,1485193936050311172,"RT @computercart: jokes aside, it’s says a lot that in a cgi/ai/metaverse world where they can literally create ANYTHING what they do is ri…",0.17,0.0,0.83,0.0,4
7,1485193932049121281,"RT @BestRealAirdrop: 💎 #Genesis #Metaverse #Swap #Airdrop

💵 Rewards : 50 GMS (50$)
👨‍👩‍👧‍👧 Refferal : 10 GMS (10$)
🏆 Winners: Only for Fir…",0.267,0.0,0.733,0.0,4
8,1485193931700977664,"RT @FortProtocol: 📣#FortProtocol #airdrop Phase 2 is now live!

🎉3,000 Random winners + 2,000 Random winners + Top 200 referrers

👉Use our…",0.341,0.0,0.659,-0.08238636363636365,4
9,1485193931159654408,"RT @Khulood_Almani: #Edge #Computing #Architecture and How it #Processes #Data 

@TechTarget 

#DataScience #bigdata #AI #technology #IoT #…",0.0,0.0,1.0,0.0,0
10,1485193930975162369,"@ResTenebris @metalndtoken @Metalndarmy Metalnd Token gives investors an opportunity to own land in the #Sandbox, #Decentraland and other metaverse projects. Token holders will be rewarded with high apr % for passive income! Come join us in being a land owner today! 🚀 https://t.co/rFWTXybqaI",0.22699999999999998,0.0,0.773,0.24166666666666667,4
11,1485193930769825792,"RT @TaylorMusk_: What #ALTCOIN would you recommend me to buy in this market crash ⁉️🤔

Stay strong and don't miss this opportunity 😎🔥

#BSC…",0.326,0.084,0.59,0.4333333333333333,4
12,1485193928878194691,"RT @METAMINERSNFT: In less than 24 hours 10,000 Unique Metaminers will hit the metaverse! 

We hope to see you there for mint https://t.co/…",0.127,0.0,0.873,0.15104166666666669,4
13,1485193928186163203,"RT @Genesismetaswap: 💎 Genesis #Metaverse #Swap Airdrop

💵 Rewards : 50 GMS (50$)
👨‍👩‍👧‍👧 Refferal : 10 GMS (10$)
🏆 Winners: Only for First…",0.267,0.0,0.733,0.0,4
14,1485193927947096064,"RT @metagategame: @metagategame #airdrop is LIVE. 🚀🚀

Reward pool: 500.000 worth of $METAG 

Link: https://t.co/tX3bhNvLcr

☑️Complete all…",0.272,0.0,0.728,0.21818181818181817,4
15,1485193927812853760,"RT @gems_1000: #BSC #BSCGem 
This one is a bomb  $SUGAR

Bottom is in 💹 now only way is up. APE NOW. don’t FOMO In later 

Team always deli…",0.0,0.113,0.887,0.0,0
16,1485193927347310596,"RT @Metavers_MeTa: AIRDROP METAVERSE $META 5,000 $BNB FOR 10,000 PARTICIPANTS

(First Come,First Serve)

📌Complete Each Of The Tasks Below:…",0.0,0.0,1.0,0.25,0
17,1485193927296974853,"RT @METAMINERSNFT: In less than 24 hours 10,000 Unique Metaminers will hit the metaverse! 

We hope to see you there for mint https://t.co/…",0.127,0.0,0.873,0.15104166666666669,4
18,1485193927070212098,RT @crypto_navi: wen u have conviction that ur @FLUF_World bunnies are the most technologically advanced 3d metaverse nfts that exist and u…,0.102,0.0,0.898,0.45,4
19,1485193925854117893,@cryptogems555 أكثر من 800 دولار من #BNB رهن في أول تجمع @BinanceChain  لدينا طوال الليل ولا يزال معدل الفائدة السنوية لدينا يحقق أكثر من 500 ٪ في #VEMP @cz_binance  👀 إذا كنت تستخدم بروتوكول #Metaverse &amp; #GameFi بناءً على @binance  ، فنحن نريد أن نرسل إليك هنا 🤝 لماذا لم تدرجنا حتى الآن؟,0.0,0.0,1.0,0.0,0
20,1485193925451292674,"RT @cryptohorsegame: Our Whitelist contest is available! Dont miss the chance to get a spot in Cryptohorse Pre-sale at Pinksale! 
Please fo…",0.18,0.072,0.748,0.625,4
21,1485193922762911747,"RT @Mighty__Crew: 🔥🎆 Our PRESALE is starting next Tuesday 3:00 PM UTC

💖 Pinksale : https://t.co/YtUxPMlm6E

Presale Price: 1 BNB = 320,000…",0.0,0.0,1.0,0.0,0
22,1485193922569998340,"RT @METAMINERSNFT: In less than 24 hours 10,000 Unique Metaminers will hit the metaverse! 

We hope to see you there for mint https://t.co/…",0.127,0.0,0.873,0.15104166666666669,4
23,1485193922234093568,"RT @beach_token: 🏖️ $BEACH 🏖️
20,000 Pounds of Trash Removed From Pacific Garbage Patch
“The Great Pacific Garbage Patch can now be cleaned…",0.157,0.0,0.843,0.8,4
24,1485193922079039489,@hugoamacias95 @Barceman16 Metalnd is giving investors an opportunity to be land owners in #Sandbox #Decentraland and other #Metaverse projects! A real utility token with high staking apr to token holders. Join us in being a landowner in the metaverse and enjoy passive income!,0.265,0.0,0.735,0.1759375,4
25,1485193921592369154,"RT @Genesismetaswap: 💎 Genesis #Metaverse #Swap Airdrop

💵 Rewards : 50 GMS (50$)
👨‍👩‍👧‍👧 Refferal : 10 GMS (10$)
🏆 Winners: Only for First…",0.267,0.0,0.733,0.0,4
26,1485193921567531011,"RT @Mighty__Crew: 🔥🎆 Our PRESALE is starting next Tuesday 3:00 PM UTC

💖 Pinksale : https://t.co/YtUxPMlm6E

Presale Price: 1 BNB = 320,000…",0.0,0.0,1.0,0.0,0
27,1485193920090886144,"RT @FuturaMeta: Have you got a ticket for the show?
 2 assets of ""Pinuccio in the Metaverse""
try it on page 83 in the GM @TheVisionEx 
Voxe…",0.066,0.0,0.934,0.0,4
28,1485193919893843969,"RT @InfinityPad_io: ❤️ We are happy to announce our next IDO @affynofficial 

✅ Affyn is a P2E metaverse where the #virtual and real world…",0.15,0.0,0.85,0.33333333333333326,4
29,1485193919344349184,"RT @expert_kripto: 🔥Seedify- 200$ Garanti Allocation🔥

⚡️Solana ağında Metaverse 🌟Plutonians🌟

Yapmanız gereken:
1⃣Takip et:@expert_kripto…",0.0,0.0,1.0,0.0,0
30,1485193918841225216,"RT @Mighty__Crew: 🔥🎆 Our PRESALE is starting next Tuesday 3:00 PM UTC

💖 Pinksale : https://t.co/YtUxPMlm6E

Presale Price: 1 BNB = 320,000…",0.0,0.0,1.0,0.0,0
31,1485193918308564993,"RT @NFTMTG: Metaverse supremacy is on the line when 10,000 gamers compete for a shot at glory!👑

With time against them, only the most skil…",0.061,0.0,0.939,0.25,4
32,1485193917247401984,"RT @gems_1000: #BSC #BSCGem 
This one is a bomb  $SUGAR

Bottom is in 💹 now only way is up. APE NOW. don’t FOMO In later 

Team always deli…",0.0,0.113,0.887,0.0,0
33,1485193915523563523,"RT @METADreamCity: Path onto Metaverse! All in City of Dream!

#MetaVerse #BSCNews #NFTCommunity",0.177,0.0,0.823,0.0,4
34,1485193915208978435,"RT @Genesismetaswap: 💎 Genesis #Metaverse #Swap Airdrop

💵 Rewards : 50 GMS (50$)
👨‍👩‍👧‍👧 Refferal : 10 GMS (10$)
🏆 Winners: Only for First…",0.267,0.0,0.733,0.0,4
35,1485193914978029568,"RT @ihassansheikh: @cryptogems555 You know what else will do 10x easily? 
$Casino by #Metasino!
Presale is starting tomorrow on https://t.c…",0.124,0.0,0.8759999999999999,0.27083333333333337,4
36,1485193914852470787,RT @cryptotommy88: @Hunters_meta builds an NFT game on Binance Smart Chain (BSC) that allows players to seek rewards and experience in the…,0.225,0.0,0.775,-0.09285714285714289,4
37,1485193914453663745,"RT @Metavers_MeTa: AIRDROP METAVERSE $META 5,000 $BNB FOR 10,000 PARTICIPANTS

(First Come,First Serve)

📌Complete Each Of The Tasks Below:…",0.0,0.0,1.0,0.25,0
38,1485193914240094211,"RT @cryptohorsegame: Our Whitelist contest is available! Dont miss the chance to get a spot in Cryptohorse Pre-sale at Pinksale! 
Please fo…",0.18,0.072,0.748,0.625,4
39,1485193913875017728,"RT @KriptoMeta: 🎉BİR MOREL ÇEKİLİŞİ YAPALIM DOSTLAR👊

1 KİŞİYE 400$ değerinde istediği bir #Metaverse coini🤘

👇Şartlar basit
✅@KriptoMeta &lt;…",0.0,0.0,1.0,0.0,0
40,1485193913719795715,"RT @Mighty__Crew: 🔥🎆 Our PRESALE is starting next Tuesday 3:00 PM UTC

💖 Pinksale : https://t.co/YtUxPMlm6E

Presale Price: 1 BNB = 320,000…",0.0,0.0,1.0,0.0,0
41,1485193913254424581,"RT @METAMINERSNFT: In less than 24 hours 10,000 Unique Metaminers will hit the metaverse! 

We hope to see you there for mint https://t.co/…",0.127,0.0,0.873,0.15104166666666669,4
42,1485193912944033793,"RT @FortProtocol: 📣#FortProtocol #airdrop Phase 2 is now live!

🎉3,000 Random winners + 2,000 Random winners + Top 200 referrers

👉Use our…",0.341,0.0,0.659,-0.08238636363636365,4
43,1485193912721752064,"RT @Genesismetaswap: 💎 Genesis #Metaverse #Swap Airdrop

💵 Rewards : 50 GMS (50$)
👨‍👩‍👧‍👧 Refferal : 10 GMS (10$)
🏆 Winners: Only for First…",0.267,0.0,0.733,0.0,4
44,1485193912633503744,"RT @CrossTheAges: ⚡️A new partner has joined our ranks! ⚡️

Give @Wonderland_fi a warm welcome to the #metaverse 😺

We are excited  to expl…",0.285,0.0,0.715,0.48636363636363633,4
45,1485193912612536322,"RT @Khulood_Almani: #Edge #Computing #Architecture and How it #Processes #Data 

@TechTarget 

#DataScience #bigdata #AI #technology #IoT #…",0.0,0.0,1.0,0.0,0
46,1485193912486707210,RT @yooshi_official: #YOOSHI #Metaverse @binance https://t.co/ALisU104AC,0.0,0.0,1.0,0.0,0
47,1485193912465895432,"RT @wtfsaucy: 💎 #NFTGiveaway 💎

Win a 1X Free Gold Digger Ape #NFT 🎁

• 369 club (BAYC Holders) are buying gold-digger apes for the Metaver…",0.272,0.0,0.728,0.6000000000000001,4
48,1485193912176283651,"RT @FuturaMeta: Take a look at the video that shows you @Mrgold_original  in detail the game of ""Pinuccio in the metaverse"".
Voxel artist:@…",0.0,0.0,1.0,-0.4,0
49,1485193910691713029,"RT @Genesismetaswap: 💎 Genesis #Metaverse #Swap Airdrop

💵 Rewards : 50 GMS (50$)
👨‍👩‍👧‍👧 Refferal : 10 GMS (10$)
🏆 Winners: Only for First…",0.267,0.0,0.733,0.0,4
50,1485193909748002816,"RT @gems_1000: #BSC #BSCGem 
This one is a bomb  $SUGAR

Bottom is in 💹 now only way is up. APE NOW. don’t FOMO In later 

Team always deli…",0.0,0.113,0.887,0.0,0
51,1485193909177581570,"RT @METAMINERSNFT: In less than 24 hours 10,000 Unique Metaminers will hit the metaverse! 

We hope to see you there for mint https://t.co/…",0.127,0.0,0.873,0.15104166666666669,4
52,1485193909143801856,"RT @AbuNFT1: 🌔 CosmoKidz Discord in Bio 🌔

Launch: early February
Mint price: TBA
Whitelist still open be fast 🚀

🤑 TESLA AWARDED to Elon C…",0.131,0.103,0.765,0.10000000000000002,4
53,1485193907738931207,"RT @gems_1000: #BSC #BSCGem 
This one is a bomb  $SUGAR

Bottom is in 💹 now only way is up. APE NOW. don’t FOMO In later 

Team always deli…",0.0,0.113,0.887,0.0,0
54,1485193907504050176,"RT @Hercules2Mighty: #Metaverse legacy is on the line when 10,055 gamers compete for glory!

With their lives at stake, #MightyHercules mus…",0.159,0.0,0.841,0.0,4
55,1485193907273191425,"RT @Khulood_Almani: #Edge #Computing #Architecture and How it #Processes #Data 

@TechTarget 

#DataScience #bigdata #AI #technology #IoT #…",0.0,0.0,1.0,0.0,0
56,1485193906983690240,RT @bapesclan: You are still early. The bapes takeover has just begun. Metaverse dominance is our goal. Our billion dollar team will be rev…,0.073,0.0,0.927,0.1,4
